title,salary,city,raw_text
数据质检（数据标注、数据采集、分析、智驾,14-26K,南京,"数据质检（数据标注、数据采集、分析、智驾
-K
3-5年
大专
某大型汽车智能网联公司
南京"
数据分析师,7-9K,南京·浦口区·泰山,"数据分析师
-K
1-3年
大专
宜宾九博信息技术
南京·浦口区·泰山"
双休+绩效薪酬主管（数据分析薪资可谈）,10-11K,南京·六合区·龙池,"双休+绩效薪酬主管（数据分析薪资可谈）
-K
3-5年
本科
富银印金半导体
南京·六合区·龙池"
大数据智能分析工程师,15-30K,未知,"大数据智能分析工程师
-K
1-3年
硕士
弋慧海
南京·江宁区·光华路"
大模型数据分析师,10-15K,未知,"大模型数据分析师
-K
3-5年
本科
花瓣云科技
南京·雨花台区·安德门"
数据分析(13薪双休+公积金全额),10-14K,未知,"数据分析(13薪双休+公积金全额)
-K·薪
1-3年
本科
中软国际
南京·雨花台区·安德门"
大数据分析助理,11-15K,南京·建邺区·江东,"大数据分析助理
-K
1年以内
大专
武汉智咻科技有限公司
南京·建邺区·江东"
数据分析师(电商双休),12-15K,未知,"数据分析师(电商双休)
-K·薪
1-3年
本科
猎宝网
南京·玄武区·徐庄软件园"
数据分析师（财务方向）,8-13K,未知,"数据分析师（财务方向）
-K
1-3年
大专
昊美科技
南京·鼓楼区·山西路"
数据分析师（居家办公）,15-20K,深圳市云构纪元科技,"数据分析师（居家办公）
-K
1-3年
本科
深圳市云构纪元科技
南京·秦淮区·长白街"
运营经理（用户增长/数据分析/产品运营）,10-15K,未知,"运营经理（用户增长/数据分析/产品运营）
-K
3-5年
大专
欣网互联
南京·鼓楼区·中央门"
数据分析师,13-20K,未知,"数据分析师
-K
3-5年
本科
武汉江雪科技有限...
南京·雨花台区·铁心桥"
AI应用开发(数据分析经验),12-20K,南京·浦口区·江浦,"AI应用开发(数据分析经验)
-K
3-5年
本科
元数智人工智能
南京·浦口区·江浦"
数据分析（包吃）,18-25K,南京·玄武区·红山,"数据分析（包吃）
-K
3-5年
本科
沃丰
南京·玄武区·红山"
