title,salary,city,raw_text
python数据分析师,15-20K,南京·江宁区·东山,"python数据分析师
-K
3-5年
本科
物媒码科技有限公司
南京·江宁区·东山"
双休+绩效薪酬主管（数据分析薪资可谈）,双休绩效薪酬主管数据分析薪,南京·六合区·龙池,"双休+绩效薪酬主管（数据分析薪资可谈）
-K
3-5年
本科
富银印金半导体
南京·六合区·龙池"
数据分析师(电商双休),14-20K,南京·玄武区·徐庄软件园,"数据分析师(电商双休)
-K
3-5年
本科
猎宝网
南京·玄武区·徐庄软件园"
数据分析师（居家办公）,15-20K,深圳市云构纪元科技,"数据分析师（居家办公）
-K
1-3年
本科
深圳市云构纪元科技
南京·秦淮区·长白街"
大数据分析助理,11-15K,武汉智咻科技有限公司,"大数据分析助理
-K
1年以内
大专
武汉智咻科技有限公司
南京·建邺区·江东"
运营经理（用户增长/数据分析/产品运营）,10-15K,南京·鼓楼区·中央门,"运营经理（用户增长/数据分析/产品运营）
-K
3-5年
大专
欣网互联
南京·鼓楼区·中央门"
数据分析师,13-20K,武汉江雪科技有限...,"数据分析师
-K
3-5年
本科
武汉江雪科技有限...
南京·雨花台区·铁心桥"
大数据分析工程师,5-10K,南京·雨花台区·安德门,"大数据分析工程师
-K
在校/应届
本科
阿凡梯
南京·雨花台区·安德门"
Python数据分析师（亚马逊广告）,10-15K,南京·江宁区·百家湖,"Python数据分析师（亚马逊广告）
-K
5-10年
本科
沿途
南京·江宁区·百家湖"
数据分析师,7-11K,南京领擎,"数据分析师
-K
3-5年
本科
南京领擎
南京"
数据分析,11-18K15新,南京·雨花台区·铁心桥,"数据分析
-K·薪
3-5年
学历不限
京喜
南京·雨花台区·铁心桥"
数据分析师助理,3-5K,南京·玄武区·新街口,"数据分析师助理
-K
在校/应届
大专
幸会科技
南京·玄武区·新街口"
数据分析工程师,10-15K,南京,"数据分析工程师
-K
1-3年
本科
苏州华为技术研发
南京"
数据分析师（小语种）,5-7K1新,上海万得基金,"数据分析师（小语种）
-K·薪
在校/应届
本科
上海万得基金
南京·建邺区·江东"
BI分析师,12-20K1新,南京·建邺区·西善桥,"BI分析师
-K·薪
3-5年
本科
新康众
南京·建邺区·西善桥"
数据分析师（财务方向）,5-10K,南京·玄武区·新街口,"数据分析师（财务方向）
-K
1-3年
大专
昊美科技
南京·玄武区·新街口"
数据分析（包吃）,18-25K,南京·玄武区·红山,"数据分析（包吃）
-K
3-5年
本科
沃丰
南京·玄武区·红山"
助理数据分析师,10-15K1新,南京·雨花台区·小行,"助理数据分析师
-K·薪
1-3年
本科
vivo
南京·雨花台区·小行"
汽车电子测试（adas/智能座舱/数据分析）,18-22K,某大型互联网汽车数智化服务深圳公司,"汽车电子测试（adas/智能座舱/数据分析）
-K
1-3年
大专
某大型互联网汽车数智化服务深圳公司
南京"
大数据分析师,15-25K,南京·建邺区·江东,"大数据分析师
-K
5-10年
本科
众丞科技
南京·建邺区·江东"
数据分析师TEC25102901,15-20K,上海圣钧信息科技,"数据分析师TEC25102901
-K
1-3年
本科
上海圣钧信息科技
南京·江宁区·百家湖"
AI应用开发(数据分析经验),12-20K,南京·浦口区·江浦,"AI应用开发(数据分析经验)
-K
3-5年
本科
元数智人工智能
南京·浦口区·江浦"
高级数据分析工程师,12-24K,南京未创信息,"高级数据分析工程师
-K
5-10年
大专
南京未创信息
南京·玄武区·新街口"
大数据产品经理,12-24K,南京·江宁区·南京南站,"大数据产品经理
-K
3-5年
本科
万象数据
南京·江宁区·南京南站"
数据分析,15-25K,南京,"数据分析
-K
3-5年
大专
某大型已上市食用菌及零食零售公司
南京"
数据分析师,7-12K,南京,"数据分析师
-K
3-5年
本科
领秀
南京"
数据分析师-物流仓储成本,20-40K,南京·雨花台区·铁心桥,"数据分析师-物流仓储成本
-K
3-5年
本科
SHEIN
南京·雨花台区·铁心桥"
环境数据分析师,7-9K,南京·建邺区·中胜,"环境数据分析师
-K
1-3年
本科
德泽环保
南京·建邺区·中胜"
汽车大数据分析/运营,1115K,南京·建邺区·西善桥,"汽车大数据分析/运营
-K
3-5年
本科
法本
南京·建邺区·西善桥"
数据分析师管培生,3-4K,南京,"数据分析师管培生
-K
在校/应届
大专
锦创书城
南京"
Salesforce 数据分析师,10-15K1新,南京·栖霞区·尧化,"Salesforce 数据分析师
-K·薪
3-5年
本科
米聚互联网科技
南京·栖霞区·尧化"
数据分析师,12-18K,南京惠而康,"数据分析师
-K
3-5年
本科
南京惠而康
南京·建邺区·江东"
数据分析师（南京）,10-15K,数据分析师（南京）,"数据分析师（南京）
-K
3-5年
本科
昆仑互联
南京·雨花台区·安德门"
数据分析师,15-25K15新,南京·建邺区·西善桥,"数据分析师
-K·薪
在校/应届
本科
小米
南京·建邺区·西善桥"
数据分析助理（经验不限）,46K,南京·雨花台区·安德门,"数据分析助理（经验不限）
-K
1年以内
本科
Funlife
南京·雨花台区·安德门"
数据分析师,20-40K,南京·雨花台区·宁南,"数据分析师
-K
在校/应届
本科
满帮集团
南京·雨花台区·宁南"
财经分析师 可居家/高提成/低去重,20-40K,武汉春和景明,"财经分析师 可居家/高提成/低去重
-K
3-5年
本科
武汉春和景明
南京·秦淮区·长白街"
数据分析师,11-22K,上海星图金融服务,"数据分析师
-K
3-5年
本科
上海星图金融服务
南京·建邺区·江东"
数据分析师,13-16K,南京·雨花台区·铁心桥,"数据分析师
-K
3-5年
本科
润和软件
南京·雨花台区·铁心桥"
大数据分析工程师,12-20K,南京·建邺区·奥体,"大数据分析工程师
-K
5-10年
本科
睿希科技
南京·建邺区·奥体"
高级数据分析师（建模方向）,18-30K,南京·浦口区·沿江,"高级数据分析师（建模方向）
-K
3-5年
本科
Datakey
南京·浦口区·沿江"
数据分析师,56K,南京CoCo都可,"数据分析师
-K
1-3年
大专
南京CoCo都可
南京·雨花台区·南京南站"
外卖数据分析师,4-8K,南京·雨花台区·安德门,"外卖数据分析师
-K
1-3年
本科
淮安滴水穿石智能科技
南京·雨花台区·安德门"
数据分析师,14-23K,南京,"数据分析师
-K
3-5年
本科
网眼信息技术
南京"
数据分析师（Digital Data Analyst）,10-15K,南京·雨花台区·宁南,"数据分析师（Digital Data Analyst）
-K
3-5年
本科
创数
南京·雨花台区·宁南"
数据分析师,2-7K,南京·鼓楼区·湖南路,"数据分析师
-K
1年以内
本科
金心阳
南京·鼓楼区·湖南路"
数据分析师,9-14K14新,南京·鼓楼区·山西路,"数据分析师
-K·薪
5-10年
本科
朗新科技集团
南京·鼓楼区·山西路"
